IDBASE;TYPE EMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENT ADRESSE;NUMERO;LIEU / ADRESSE;IDEMPLACEMENT;LIBELLE FRANCAIS;GENRE;ESPECE;VARIETE OUCULTIVAR;CIRCONFERENCE (cm);HAUTEUR (m);STADE DE DEVELOPPEMENT;REMARQUABLE;geo_point_2d
199342;Arbre;DJS;PARIS 20E ARRDT;;;CENTRE SPORTIF LOUIS LUMIERE / 30 RUE LOUIS LUMIERE;000205008;Epicéa;Picea;abies;;90;12;Jeune (arbre)Adulte;NON;6862157.2789,656921.988999
123704;Arbre;Jardin;PARIS 12E ARRDT;;;SQUARE CHARLES PEGUY / 21 RUE ROTTEMBOURG;000102019;Epicéa;Picea;pungens f. Glauca;;50;5;Jeune (arbre)Adulte;NON;6860067.46489,656490.207999
160475;Arbre;CIMETIERE;SEINE-SAINT-DENIS;;;CIMETIERE DE PANTIN / DIV 167;D00000167032;Epicéa;Picea;abies;;90;9;;;6867567.74189,655924.543999
112568;Arbre;Jardin;PARIS 19E ARRDT;;;PARC DES BUTTES CHAUMONT;J0450021;Epicéa;Picea;omorika;;90;15;;;6864574.23289,654790.263999
197766;Arbre;DJS;PARIS 12E ARRDT;;;CENTRE SPORTIF PAUL VALERY / 15 RUE DE LA NOUVELLE CALEDONIE;00320006;Epicéa;Picea;pungens;;150;10;Adulte;NON;6859954.1539,656755.329
191276;Arbre;DASCO;PARIS 15E ARRDT;;;ECOLE MATERNELLE / 40 RUE DES MORILLONS;073001013;Epicéa;Picea;abies;;70;7;Jeune (arbre);NON;6859340.8429,648703.568999
2015705;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00320014;Epicéa;Picea;abies;;40;14;Adulte;NON;6859679.23389,659202.026999
2013939;Arbre;Jardin;BOIS DE VINCENNES;;;UCPA / ROUTE DU POLYGONE;31310001;Epicéa;Picea;abies;;35;6;Jeune (arbre);NON;6859556.27989,658358.016999
2024426;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;720060156;Epicéa;Picea;sitchensis;;0;0;;NON;6858066.34389,660178.148999
2024278;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719480623;Epicéa;Picea;likiangensis;;0;0;;NON;6858035.61689,660125.252999
187710;Arbre;DASCO;PARIS 15E ARRDT;;;ECOLE MATERNELLE / 35 AVENUE EMILE ZOLA;070801006;Epicéa;Picea;abies;;30;6;Jeune (arbre);NON;6860960.3669,647287.456999
191273;Arbre;DASCO;PARIS 15E ARRDT;;;ECOLE MATERNELLE / 40 RUE DES MORILLONS;073001010;Epicéa;Picea;abies;;80;8;Jeune (arbre)Adulte;NON;6859337.62889,648706.580999
2010663;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00030015;Epicéa;Picea;abies;;100;20;Adulte;NON;6859964.3789,658908.960999
201563;Arbre;DJS;PARIS 16E ARRDT;;;STADE FRANCAIS OMNISPORTS GEO ANDRE / 2 RUE DU COMMANDANT GUILBAUD;01140057;Epicéa;Picea;abies;;110;7;Adulte;NON;6860156.8609,645127.043999
125084;Arbre;Jardin;PARIS 18E ARRDT;Le grand Talus;;SQUARE LOUISE MICHEL / 6 PLACE SAINT PIERRE;000502009;Epicéa;Picea;orientalis;;73;8;Adulte;NON;6865287.10489,651932.902999
197764;Arbre;DJS;PARIS 12E ARRDT;;;CENTRE SPORTIF PAUL VALERY / 15 RUE DE LA NOUVELLE CALEDONIE;00320003;Epicéa;Picea;pungens;;70;5;Jeune (arbre)Adulte;NON;6859954.68589,656745.544999
111360;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 20 - 75 à 77;;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;000307029;Epicéa;Picea;pungens f. Glauca;;12;1;Jeune (arbre);NON;6863766.3019,647041.219999
108725;Arbre;Jardin;PARIS 16E ARRDT;Canton 08;;JARDINS DU TROCADERO / 3 PLACE DE VARSOVIE;000806017;Epicéa;Picea;orientalis;;76;9;Jeune (arbre)Adulte;NON;6862648.0509,648060.703999
2031101;Arbre;Jardin;PARIS 16E ARRDT;Canton 01;;JARDINS DU TROCADERO / 3 PLACE DE VARSOVIE;000102001;Epicéa;Picea;pungens;;15;3;;NON;6862572.28389,647654.845999
2024422;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719801152;Epicéa;Picea;glehnii;;0;0;;NON;6858055.35189,660192.068999
200582;Arbre;DJS;PARIS 12E ARRDT;;;CENTRE SPORTIF PAUL VALERY / 15 RUE DE LA NOUVELLE CALEDONIE;00320009;Epicéa;Picea;pungens;;120;10;Adulte;NON;6859948.80889,656783.573999
2012738;Arbre;Jardin;BOIS DE VINCENNES;;;INSEP / AVENUE DU TREMBLAY;00100004;Epicéa;Picea;abies;;120;13;Jeune (arbre)Adulte;NON;6859504.0629,659672.468999
201561;Arbre;DJS;PARIS 16E ARRDT;;;STADE FRANCAIS OMNISPORTS GEO ANDRE / 2 RUE DU COMMANDANT GUILBAUD;01140055;Epicéa;Picea;abies;;90;12;Jeune (arbre)Adulte;NON;6860169.5079,645127.196999
186383;Arbre;DFPE;PARIS 13E ARRDT;;;ANDRE MASSON (7);26590002;Epicéa;Picea;abies;;75;10;Jeune (arbre);NON;6858775.81989,652659.525999
200583;Arbre;DJS;PARIS 12E ARRDT;;;CENTRE SPORTIF PAUL VALERY / 15 RUE DE LA NOUVELLE CALEDONIE;00320010;Epicéa;Picea;pungens;;125;10;Adulte;NON;6859961.22889,656784.281999
187634;Arbre;DASCO;PARIS 13E ARRDT;;;ECOLE MATERNELLE / 29 RUE DES LONGUES RAIES;067802001;Epicéa;Picea;abies;;85;11;Jeune (arbre)Adulte;NON;6858078.98089,652105.293999
197769;Arbre;DJS;PARIS 12E ARRDT;;;CENTRE SPORTIF PAUL VALERY / 15 RUE DE LA NOUVELLE CALEDONIE;00320007;Epicéa;Picea;pungens;;75;10;Jeune (arbre)Adulte;NON;6859951.24389,656765.434999
160462;Arbre;CIMETIERE;PARIS 20E ARRDT;;;CIMETIERE DU PERE LACHAISE / DIV 86;D00000086015;Epicéa;Picea;abies;;40;6;Adulte;NON;6862717.34689,655581.816999
186272;Arbre;DASCO;PARIS 18E ARRDT;;;POISSONNIERS (142) ELEM;11863015;Epicéa;Picea;abies;;76;11;Adulte;NON;6866492.84389,652574.468999
124540;Arbre;Jardin;PARIS 13E ARRDT;;;SQUARE DESSOUS DES BERGES;00000012;Epicéa;Picea;omorika;;15;6;;;6858623.8589,654137.586999
160483;Arbre;CIMETIERE;SEINE-SAINT-DENIS;;;CIMETIERE DE SAINT-OUEN NOUV / DIV 21;D00000021003;Epicéa;Picea;abies;;68;6;Adulte;NON;6867907.82489,652203.415999
105923;Arbre;Jardin;PARIS 13E ARRDT;;;SQUARE DE CHOISY;00000313;Epicéa;Picea;pungens f. Glauca;;120;17;;;6858870.90289,652913.952999
